startTime,appName,projectName,organization,environment,Sonar,resultSonarAnalysis,api_performance_testing,api_performance_tests_executed,api_performance_tests_success_rate,api_functional_testing,api_tests_executed,api_tests_failed,forfify_security_test,web_functional_testing,web_tests_executed,web_tests_failed,trivy_security_test,fortify_security_critical,fortify_security_high,trivy_security_high,trivy_security_critical,product,appType,deploymentType
2024-09-05T22:44:04,ms-spb-wh-residual-value,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T22:44:14,ms-spb-wh-insurance-cancellation,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T08:10:26,ms-spb-wh-structural-organization-branch,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T08:10:47,ms-spb-wh-personal-tables-as400,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T08:26:33,ms-spb-wh-structural-organization-center,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T09:12:34,ms-spb-wh-structural-organization-entity,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T10:29:52,ms-spb-wh-contact,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T09:33:00,ms-spb-wh-general-tables,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T11:28:06,ms-spb-wh-location,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T12:27:54,ms-spb-wh-formalization-translator,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-09T18:12:01,ms-spb-wh-customer-data,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T16:05:51,ms-spb-wh-dealer-data,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T17:05:05,ms-spb-wh-genesys-general-tables,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T16:21:01,ms-spb-wh-customer-overview,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T17:08:14,ms-spb-wh-genesys-ivr,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T18:12:42,ms-spb-wh-genesys-codification,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:20:55,ms-spb-wh-bills,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T11:24:42,ms-spb-wh-loan-contract-extension,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:17:57,ms-spb-wh-residual-value,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:26:23,ms-spb-wh-second-direct-debit,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:23:31,ms-spb-wh-vehicle-remarketing,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T13:00:15,ms-spb-wh-insurance-cancellation,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T11:57:13,ms-spb-wh-genesys-general-tables,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-09T14:23:53,ms-spb-wh-customer-data,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T12:20:38,ms-spb-wh-genesys-ivr,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T12:20:28,ms-spb-wh-genesys-codification,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T11:32:59,ms-spb-wh-customer-overview,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T12:27:45,ms-spb-wh-dealer-data,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T14:31:15,ms-spb-wh-dealer-data,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:20:55,ms-spb-wh-bills,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T11:24:42,ms-spb-wh-loan-contract-extension,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:17:57,ms-spb-wh-residual-value,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:26:23,ms-spb-wh-second-direct-debit,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T10:23:31,ms-spb-wh-vehicle-remarketing,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T13:00:15,ms-spb-wh-insurance-cancellation,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T11:57:13,ms-spb-wh-genesys-general-tables,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-09T14:23:53,ms-spb-wh-customer-data,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T12:20:38,ms-spb-wh-genesys-ivr,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T11:32:59,ms-spb-wh-customer-overview,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T12:20:28,ms-spb-wh-genesys-codification,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T12:27:45,ms-spb-wh-dealer-data,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T14:31:15,ms-spb-wh-dealer-data,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T12:27:54,ms-spb-wh-formalization-translator,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T12:27:54,ms-spb-wh-formalization-translator,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T16:50:01,ms-spb-wh-economical-tables-as400,wh-operational-portal,SCF,null,,,,,,no,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T16:50:01,ms-spb-wh-economical-tables-as400,wh-operational-portal,SCF,null,,,,,,,,,,no,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T10:12:32,ms-spb-wh-genesys-general-tables,wh-operational-portal,SCF,CERT,,,,,,,,,yes,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T10:57:47,ms-spb-wh-genesys-general-tables,wh-operational-portal,SCF,CERT,,,,,,,,,yes,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T12:20:44,ms-spb-wh-genesys-codification,wh-operational-portal,SCF,CERT,,,,,,,,,yes,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T09:08:26,ms-spb-wh-genesys-ivr,wh-operational-portal,SCF,CERT,,,,,,,,,yes,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
